condition,metric,n_scored,mean,sd,median,q25,q75,iqr
baseline,faithfulness,287,0.7367,0.3053,0.75,0.5,1.0,0.5
baseline,answer_relevancy,297,0.5848,0.287,0.645,0.509,0.7763,0.2673
baseline,context_precision,299,0.6356,0.3513,0.6944,0.3872,1.0,0.6128
baseline,latency,300,5.1801,1.5849,4.9393,4.2919,5.5565,1.2646
reranker,faithfulness,287,0.7776,0.2712,1.0,0.5,1.0,0.5
reranker,answer_relevancy,295,0.5905,0.2779,0.6495,0.5091,0.7713,0.2622
reranker,context_precision,299,0.6589,0.3486,0.75,0.5,1.0,0.5
reranker,latency,300,6.2134,1.4787,6.0168,5.2001,6.5778,1.3777
agentic,faithfulness,290,0.7796,0.2974,1.0,0.5,1.0,0.5
agentic,answer_relevancy,297,0.6024,0.2652,0.6651,0.5215,0.7765,0.255
agentic,context_precision,300,0.6769,0.3627,0.8333,0.5,1.0,0.5
agentic,latency,300,28.0876,14.9041,19.2154,16.599,37.4433,20.8442
